index,timestamp,close,senal
2,2024-12-24 17:00:00,97540.0,long
40,2024-12-31 01:00:00,92467.1,short
43,2024-12-31 13:00:00,95385.1,long
47,2025-01-01 05:00:00,93642.7,long
52,2025-01-02 01:00:00,94985.8,short
81,2025-01-06 21:00:00,102185.9,short
88,2025-01-08 01:00:00,96487.5,long
101,2025-01-10 05:00:00,94457.1,long
124,2025-01-14 01:00:00,94849.3,long
137,2025-01-16 05:00:00,99783.6,short
148,2025-01-18 01:00:00,103530.0,short
153,2025-01-18 21:00:00,104520.0,short
161,2025-01-20 05:00:00,107172.9,long
167,2025-01-21 05:00:00,101962.7,long
182,2025-01-23 17:00:00,103736.6,long
189,2025-01-24 21:00:00,104800.1,short
193,2025-01-25 13:00:00,104846.5,long
196,2025-01-26 01:00:00,105024.5,short
198,2025-01-26 09:00:00,104773.6,short
202,2025-01-27 01:00:00,101345.0,short
206,2025-01-27 17:00:00,99649.9,long
222,2025-01-30 09:00:00,105281.5,short
232,2025-02-01 01:00:00,102173.1,long
248,2025-02-03 17:00:00,101831.8,long
264,2025-02-06 09:00:00,98829.0,long
269,2025-02-07 05:00:00,96694.9,long
296,2025-02-11 17:00:00,94985.9,short
306,2025-02-13 09:00:00,95890.0,short
311,2025-02-14 05:00:00,96907.8,long
326,2025-02-16 17:00:00,97021.5,short
334,2025-02-18 01:00:00,96150.7,long
338,2025-02-18 17:00:00,94066.0,long
343,2025-02-19 13:00:00,95904.4,long
350,2025-02-20 17:00:00,98368.7,short
361,2025-02-22 13:00:00,96613.2,long
370,2025-02-24 01:00:00,95446.6,long
373,2025-02-24 13:00:00,94376.8,long
391,2025-02-27 13:00:00,85480.0,long
398,2025-02-28 17:00:00,84394.0,long
413,2025-03-03 05:00:00,92347.3,short
418,2025-03-04 01:00:00,83939.9,long
423,2025-03-04 21:00:00,87260.1,long
432,2025-03-06 09:00:00,91298.6,short
437,2025-03-07 05:00:00,88324.2,short
463,2025-03-11 13:00:00,81180.4,long
465,2025-03-11 21:00:00,82889.2,long
476,2025-03-13 17:00:00,80170.8,short
479,2025-03-14 05:00:00,82141.6,long
493,2025-03-16 13:00:00,83273.5,short
497,2025-03-17 05:00:00,83519.1,long
503,2025-03-18 05:00:00,83117.7,short
511,2025-03-19 13:00:00,84694.6,long
515,2025-03-20 05:00:00,85780.7,short
523,2025-03-21 13:00:00,83524.7,long
533,2025-03-23 05:00:00,84230.1,long
537,2025-03-23 21:00:00,86037.8,short
550,2025-03-26 01:00:00,87122.2,short
556,2025-03-27 01:00:00,87626.7,long
577,2025-03-30 14:00:00,82692.9,long
584,2025-03-31 18:00:00,82409.3,long
597,2025-04-02 22:00:00,82468.1,short
599,2025-04-03 06:00:00,83422.0,long
604,2025-04-04 02:00:00,82786.5,long
616,2025-04-06 02:00:00,83313.8,long
626,2025-04-07 18:00:00,78091.6,long
638,2025-04-09 18:00:00,82294.6,long
652,2025-04-12 02:00:00,82933.0,short
666,2025-04-14 10:00:00,84890.0,short
677,2025-04-16 06:00:00,83312.8,long
681,2025-04-16 22:00:00,83986.0,short
685,2025-04-17 14:00:00,84499.4,short
689,2025-04-18 06:00:00,84615.1,short
693,2025-04-18 22:00:00,84419.6,long
697,2025-04-19 14:00:00,85150.0,short
700,2025-04-20 02:00:00,85119.1,short
704,2025-04-20 18:00:00,84600.6,long
709,2025-04-21 14:00:00,87992.1,short
735,2025-04-25 22:00:00,94596.2,short
743,2025-04-27 06:00:00,94022.1,short
747,2025-04-27 22:00:00,93700.0,long
764,2025-04-30 18:00:00,94100.0,short
766,2025-05-01 02:00:00,94738.5,long
771,2025-05-01 22:00:00,96430.9,short
786,2025-05-04 10:00:00,95379.9,long
796,2025-05-06 02:00:00,94417.0,long
800,2025-05-06 18:00:00,94501.6,long
